"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify multiple items in cart","832","testMultipleItemsInCart","Surefire suite","Mon Sep 01 14:28:50 UTC 2025","passed","Mon Sep 01 14:28:51 UTC 2025","com.isaac.ecommerce_test_framework.tests.CartTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CartTests","testMultipleItemsInCart"
"Verify products are displayed correctly on products page","430","testProductsDisplay","Surefire suite","Mon Sep 01 14:28:45 UTC 2025","passed","Mon Sep 01 14:28:45 UTC 2025","com.isaac.ecommerce_test_framework.tests.ProductTests","Surefire test","com.isaac.ecommerce_test_framework.tests.ProductTests","testProductsDisplay"
"Verify login with performance glitch user","5532","testPerformanceGlitchUserLogin","Surefire suite","Mon Sep 01 14:28:31 UTC 2025","passed","Mon Sep 01 14:28:37 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testPerformanceGlitchUserLogin"
"Verify successful login with valid credentials","414","testSuccessfulLogin","Surefire suite","Mon Sep 01 14:28:38 UTC 2025","passed","Mon Sep 01 14:28:39 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testSuccessfulLogin"
"Verify login with locked out user","482","testLockedOutUser","Surefire suite","Mon Sep 01 14:28:30 UTC 2025","passed","Mon Sep 01 14:28:31 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testLockedOutUser"
"Verify adding single product to cart","464","testAddSingleProductToCart","Surefire suite","Mon Sep 01 14:28:41 UTC 2025","passed","Mon Sep 01 14:28:41 UTC 2025","com.isaac.ecommerce_test_framework.tests.ProductTests","Surefire test","com.isaac.ecommerce_test_framework.tests.ProductTests","testAddSingleProductToCart"
"Verify removing product from cart","527","testRemoveProductFromCart","Surefire suite","Mon Sep 01 14:28:46 UTC 2025","passed","Mon Sep 01 14:28:46 UTC 2025","com.isaac.ecommerce_test_framework.tests.ProductTests","Surefire test","com.isaac.ecommerce_test_framework.tests.ProductTests","testRemoveProductFromCart"
"Verify complete checkout process with single item","1117","testCompleteCheckoutSingleItem","Surefire suite","Mon Sep 01 14:29:04 UTC 2025","passed","Mon Sep 01 14:29:05 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testCompleteCheckoutSingleItem"
"Verify continue shopping functionality","586","testContinueShopping","Surefire suite","Mon Sep 01 14:28:48 UTC 2025","passed","Mon Sep 01 14:28:49 UTC 2025","com.isaac.ecommerce_test_framework.tests.CartTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CartTests","testContinueShopping"
"Verify checkout validation - empty postal code","852","testCheckoutValidationEmptyPostalCode","Surefire suite","Mon Sep 01 14:29:00 UTC 2025","passed","Mon Sep 01 14:29:00 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testCheckoutValidationEmptyPostalCode"
"Verify empty cart display","455","testEmptyCart","Surefire suite","Mon Sep 01 14:28:49 UTC 2025","passed","Mon Sep 01 14:28:50 UTC 2025","com.isaac.ecommerce_test_framework.tests.CartTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CartTests","testEmptyCart"
"Verify login fails with empty username","405","testEmptyUsername","Surefire suite","Mon Sep 01 14:28:27 UTC 2025","passed","Mon Sep 01 14:28:27 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testEmptyUsername"
"Verify product price sorting","507","testPriceSorting","Surefire suite","Mon Sep 01 14:28:43 UTC 2025","passed","Mon Sep 01 14:28:43 UTC 2025","com.isaac.ecommerce_test_framework.tests.ProductTests","Surefire test","com.isaac.ecommerce_test_framework.tests.ProductTests","testPriceSorting"
"Verify login fails with both fields empty","643","testEmptyCredentials","Surefire suite","Mon Sep 01 14:28:25 UTC 2025","passed","Mon Sep 01 14:28:25 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testEmptyCredentials"
"Verify cart item details match product details","565","testCartItemDetailsMatch","Surefire suite","Mon Sep 01 14:28:47 UTC 2025","passed","Mon Sep 01 14:28:48 UTC 2025","com.isaac.ecommerce_test_framework.tests.CartTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CartTests","testCartItemDetailsMatch"
"Verify login fails with empty password","462","testEmptyPassword","Surefire suite","Mon Sep 01 14:28:26 UTC 2025","passed","Mon Sep 01 14:28:26 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testEmptyPassword"
